"id","title","year","journal_name","conf_name"
"460593526","The Stellar Population of Powerful Seyfert 2 Galaxies: Implications for QSOS","2001",,
"168519534","Formation of galactic nuclei with multiple supermassive black holes at high redshifts","2012","Monthly Notices of the Royal Astronomical Society",
"336524614","A near‐IR study of the host galaxies of 2 Jy radio sources at 0.03 ≲z≲ 0.5 – I. The data★","2010","Monthly Notices of the Royal Astronomical Society",
"148424461","Momentum-driven feedback and the M–σ relation in non-isothermal galaxies","2012","Monthly Notices of the Royal Astronomical Society",
"434524548","Evolution of luminosity function and obscuration of AGN: connecting X-ray and Infrared","2012","arXiv: Astrophysics of Galaxies",
"191323491","The Impact of Energy Feedback on Quasar Evolution and Black Hole Demographics","2005","Monthly Notices of the Royal Astronomical Society",
"422145654","The evolution of M*/MBH between z= 2 and z= 0","2010","Monthly Notices of the Royal Astronomical Society",
"419257258","Understanding the central kinematics of globular clusters with simulated integrated-light IFU observations","2015","Monthly Notices of the Royal Astronomical Society",
"126926180","AGN have underweight black holes and reach Eddington","2010","Monthly Notices of the Royal Astronomical Society",
"339574425","Herschel-ATLAS: the link between accretion luminosity and star formation in quasar host galaxies","2011","Monthly Notices of the Royal Astronomical Society",
"76428437","The impact of the warm outflow in the young (GPS) radio source and ULIRG PKS 1345+12 (4C 12.50)","2010","Monthly Notices of the Royal Astronomical Society",
"311004441","New method for exploring super-Eddington active galactic nuclei by near-infrared observations","2011","Monthly Notices of the Royal Astronomical Society",
"378689928","Ubiquitous seeding of supermassive black holes by direct collapse","2012","Monthly Notices of the Royal Astronomical Society",
"488903945","PRIMUS: The Relationship between Star Formation and AGN Accretion","2015","The Astrophysical Journal",
"311163344","An XMM–Newton spectral survey of 12 μm selected galaxies – II. Implications for AGN selection and unification","2011","Monthly Notices of the Royal Astronomical Society",
"321501864","Investigating AGN black hole masses and the MBH–σe relation for low surface brightness galaxies","2016","Monthly Notices of the Royal Astronomical Society",
"224108146","Star formation in bulgeless late-type galaxies: clues to their evolution","2012","Monthly Notices of the Royal Astronomical Society",
"459447866","Simulations of the OzDES AGN reverberation mapping project","2015","Monthly Notices of the Royal Astronomical Society",
"183994240","The Spitzer/IRAC view of black hole–bulge scaling relations","2011","Monthly Notices of the Royal Astronomical Society",
"171275425","Consistency of the black hole mass determination in AGN from the reverberation and the X-ray excess variance method","2006","Monthly Notices of the Royal Astronomical Society",
"180090891","eLISA: Astrophysics and cosmology in the millihertz regime","2013","arXiv: Cosmology and Nongalactic Astrophysics",
"365905823","Why are active galactic nuclei and host galaxies misaligned","2012","Monthly Notices of the Royal Astronomical Society",
"321687524","Counter-rotating stellar discs around a massive black hole: self-consistent, time-dependent dynamics","2012","Monthly Notices of the Royal Astronomical Society",
"81678762","Arecibo Legacy Fast ALFA H i data stacking – II. H i content of the host galaxies of active galactic nuclei","2011","Monthly Notices of the Royal Astronomical Society",
"113777147","Very small scale clustering of quasars from a complete quasar lens survey","2012","Monthly Notices of the Royal Astronomical Society",
"443044314","Evolution of the luminosity function and obscuration of active galactic nuclei: comparison between X-ray and infrared","2012","Monthly Notices of the Royal Astronomical Society",
"391157650","Host Galaxy Properties and Black Hole Mass of Swift J164449.3+573451 from Multi-Wavelength Long-Term Monitoring and HST Data","2015","The Astrophysical Journal",
"49296420","Supermassive black holes: connecting the growth to the cosmic star formation rate","2011","Monthly Notices of the Royal Astronomical Society",
"285543118","The suppression of direct collapse black hole formation by soft X-ray irradiation","2015","Monthly Notices of the Royal Astronomical Society",
"304759572","Extending the Mbh–σ diagram with dense nuclear star clusters","2012","Monthly Notices of the Royal Astronomical Society",
"219973243","The kinematic connection between galaxies and dark matter haloes","2010","Monthly Notices of the Royal Astronomical Society",
"320353814","Radiation-Hydrodynamical Model for the QSO Formation","2001",,
"149007814","Defining the intrinsic AGN infrared spectral energy distribution and measuring its contribution to the infrared output of composite galaxies","2011","Monthly Notices of the Royal Astronomical Society",
"122943068","Contemporaneous Chandra HETG and Suzaku X-ray observations of NGC 4051","2011","Monthly Notices of the Royal Astronomical Society",
"323472720","Active galactic nuclei-driven outflows without immediate quenching in simulations of high-redshift disc galaxies","2014","Monthly Notices of the Royal Astronomical Society",
"314248602","Observational Evidence for Black Holes","2013","arXiv: High Energy Astrophysical Phenomena",
"34537072","Intracluster medium cooling, AGN feedback, and brightest cluster galaxy properties of galaxy groups - Five properties where groups differ from clusters","2014","Astronomy and Astrophysics",
"124080380","Large-scale gas dynamics in the adhesion model: implications for the two-phase massive galaxy formation scenario","2011","Monthly Notices of the Royal Astronomical Society",
"84700912","Constraints on black hole duty cycles and the black hole-halo relation from SDSS quasar clustering","2010","Monthly Notices of the Royal Astronomical Society",
"38318698","A physical model of FeLoBALs: implications for quasar feedback","2012","Monthly Notices of the Royal Astronomical Society",
"402020048","PTF10iya: a short-lived, luminous flare from the nuclear region of a star-forming galaxy","2012","Monthly Notices of the Royal Astronomical Society",
"175231853","Deep, ultra-high-resolution radio imaging of submillimetre galaxies using Very Long Baseline Interferometry","2010","Monthly Notices of the Royal Astronomical Society",
"310948178","The impact of radio feedback from active galactic nuclei in cosmological simulations : formation of disc galaxies","2008","Monthly Notices of the Royal Astronomical Society",
"96982795","Effects of supermassive binary black holes on gravitational lenses","2012","Monthly Notices of the Royal Astronomical Society",
"242855564","The XMM Cluster Survey: the interplay between the brightest cluster galaxy and the intracluster medium via AGN feedback","2012","Monthly Notices of the Royal Astronomical Society",
"150434904","Clustering of intermediate redshift quasars using the final SDSS III-BOSS sample","2015","Monthly Notices of the Royal Astronomical Society",
"223867419","Auto-Catastrophic Theory: the necessity of self-destruction for the formation, survival, and termination of systems","2016","Ai & Society",
"147436809","Quasar radio‐loudness and the elliptical core problem","2010","Monthly Notices of the Royal Astronomical Society",
"298424141","A serendipitous XMM survey of the SDSS: the evolution of the colour–magnitude diagram of X‐ray AGN from z= 0.8 to 0.1","2011","Monthly Notices of the Royal Astronomical Society",
